ID;URL;Name;NameWithOwner;Stargazers;PullRequests;AcceptedPullRequests;Releases;PrimaryLanguage;createdAt;updatedAt;closedIssues;totalIssues
MDEwOlJlcG9zaXRvcnkxMzc3ODY3;https://github.com/locustio/locust;locust;locustio/locust;20796;887;628;91;Python;2011-02-17T11:08:03Z;2023-03-05T12:36:00Z;1409;1418
MDEwOlJlcG9zaXRvcnkyMDU4NzU5OQ==;https://github.com/apache/flink;flink;apache/flink;20765;22085;7309;0;Java;2014-06-07T07:00:10Z;2023-03-03T16:40:47Z;0;0
MDEwOlJlcG9zaXRvcnk2MzE4ODY1MA==;https://github.com/microsoft/api-guidelines;api-guidelines;microsoft/api-guidelines;20764;222;158;0;;2016-07-12T20:01:24Z;2023-03-01T02:03:10Z;93;185
MDEwOlJlcG9zaXRvcnkxNTcxNjY3NTA=;https://github.com/lensapp/lens;lens;lensapp/lens;20751;4134;3593;250;TypeScript;2018-11-12T06:28:56Z;2023-03-03T15:57:45Z;2251;3107
MDEwOlJlcG9zaXRvcnk2OTY2MjcyMA==;https://github.com/mxgmn/WaveFunctionCollapse;WaveFunctionCollapse;mxgmn/WaveFunctionCollapse;20750;32;18;1;C#;2016-09-30T11:53:17Z;2022-07-26T08:07:36Z;46;47
MDEwOlJlcG9zaXRvcnkxNTE4MzQ4NQ==;https://github.com/julycoding/The-Art-Of-Programming-By-July-2nd;The-Art-Of-Programming-By-July-2nd;julycoding/The-Art-Of-Programming-By-July-2nd;20750;343;254;0;C;2013-12-14T10:00:06Z;2023-02-26T17:05:49Z;83;130
MDEwOlJlcG9zaXRvcnkyMDQyOTk0Mw==;https://github.com/SwiftGGTeam/the-swift-programming-language-in-chinese;the-swift-programming-language-in-chinese;SwiftGGTeam/the-swift-programming-language-in-chinese;20729;800;701;1;CSS;2014-06-03T04:44:09Z;2023-03-04T03:19:02Z;397;407
MDEwOlJlcG9zaXRvcnkxOTE4MjAxMDA=;https://github.com/google/mediapipe;mediapipe;google/mediapipe;20726;259;32;41;C++;2019-06-13T19:16:41Z;2023-03-03T18:48:55Z;3461;3883
MDEwOlJlcG9zaXRvcnkxNTgyMzQ2MA==;https://github.com/redisson/redisson;redisson;redisson/redisson;20711;543;321;120;Java;2014-01-11T14:06:25Z;2023-03-03T11:06:25Z;3998;4327
MDEwOlJlcG9zaXRvcnkzNTY1ODg2Mw==;https://github.com/ColorlibHQ/gentelella;gentelella;ColorlibHQ/gentelella;20710;259;164;7;HTML;2015-05-15T06:57:27Z;2023-02-09T13:37:56Z;609;643
MDEwOlJlcG9zaXRvcnkyNjMzNzMyMg==;https://github.com/rancher/rancher;rancher;rancher/rancher;20705;9429;7960;937;Go;2014-11-07T20:49:31Z;2023-03-03T15:39:42Z;28490;30761
MDEwOlJlcG9zaXRvcnkxMTcxNTc1Mw==;https://github.com/robertdavidgraham/masscan;masscan;robertdavidgraham/masscan;20683;197;82;11;C;2013-07-28T05:35:33Z;2021-09-06T03:26:49Z;165;503
MDEwOlJlcG9zaXRvcnkzMTEyNzQ4;https://github.com/leereilly/games;games;leereilly/games;20656;395;192;0;;2012-01-05T19:48:55Z;2018-08-22T04:10:32Z;84;253
MDEwOlJlcG9zaXRvcnkxOTI2MzIwMDA=;https://github.com/dapr/dapr;dapr;dapr/dapr;20629;3124;2564;153;Go;2019-06-19T00:49:06Z;2023-03-04T03:41:11Z;2376;2724
MDEwOlJlcG9zaXRvcnkzOTEyMjYyOA==;https://github.com/git-tips/tips;tips;git-tips/tips;20628;170;138;0;JavaScript;2015-07-15T07:24:48Z;2021-08-12T22:41:22Z;17;34
MDEwOlJlcG9zaXRvcnk2MDcxMDU1Mw==;https://github.com/FallibleInc/security-guide-for-developers;security-guide-for-developers;FallibleInc/security-guide-for-developers;20623;42;26;0;;2016-06-08T15:56:25Z;2017-02-20T08:26:30Z;4;12
MDEwOlJlcG9zaXRvcnkxMzkwMDkxMw==;https://github.com/dracula/dracula-theme;dracula-theme;dracula/dracula-theme;20618;121;84;24;;2013-10-27T12:39:02Z;2023-02-20T18:48:30Z;592;596
MDEwOlJlcG9zaXRvcnkxMjgwMTg0Mjg=;https://github.com/alibaba/Sentinel;Sentinel;alibaba/Sentinel;20613;955;459;23;Java;2018-04-04T06:37:33Z;2023-02-28T06:11:03Z;1502;2007
MDEwOlJlcG9zaXRvcnk0MDkwNTc2Mg==;https://github.com/judasn/IntelliJ-IDEA-Tutorial;IntelliJ-IDEA-Tutorial;judasn/IntelliJ-IDEA-Tutorial;20596;74;40;0;;2015-08-17T15:25:52Z;2023-01-16T02:44:47Z;76;77
MDEwOlJlcG9zaXRvcnkzNzE1MzMzNw==;https://github.com/necolas/react-native-web;react-native-web;necolas/react-native-web;20594;689;62;20;JavaScript;2015-06-09T19:25:38Z;2023-01-27T18:45:27Z;1578;1678
MDEwOlJlcG9zaXRvcnk5NjY0MTIwOQ==;https://github.com/shieldfy/API-Security-Checklist;API-Security-Checklist;shieldfy/API-Security-Checklist;20560;133;112;0;;2017-07-08T20:01:38Z;2023-02-17T03:19:14Z;28;39
MDEwOlJlcG9zaXRvcnkyMzEyOTQ1OA==;https://github.com/aseprite/aseprite;aseprite;aseprite/aseprite;20539;449;169;86;C++;2014-08-19T23:44:50Z;2023-03-04T15:07:28Z;1899;3211
MDEwOlJlcG9zaXRvcnkxODk2NDQ4Nw==;https://github.com/ruanyf/es6tutorial;es6tutorial;ruanyf/es6tutorial;20509;601;367;0;JavaScript;2014-04-20T13:06:28Z;2023-03-02T15:40:45Z;548;548
MDEwOlJlcG9zaXRvcnk3MTIyNTk0;https://github.com/directus/directus;directus;directus/directus;20488;5784;5155;251;TypeScript;2012-12-12T01:35:36Z;2023-03-03T11:17:14Z;5819;6018
MDEwOlJlcG9zaXRvcnkxODMzNDU5NjI=;https://github.com/MustangYM/WeChatExtension-ForMac;WeChatExtension-ForMac;MustangYM/WeChatExtension-ForMac;20488;72;45;48;Objective-C;2019-04-25T03:02:16Z;2022-08-31T06:29:50Z;851;1666
MDEwOlJlcG9zaXRvcnkxOTMxNjI2Mjk=;https://github.com/rxhanson/Rectangle;Rectangle;rxhanson/Rectangle;20481;203;185;70;Swift;2019-06-21T21:34:53Z;2023-03-04T17:08:27Z;417;481
MDEwOlJlcG9zaXRvcnk1MTc2OTY4OQ==;https://github.com/refined-github/refined-github;refined-github;refined-github/refined-github;20480;2994;2544;103;TypeScript;2016-02-15T16:45:02Z;2023-03-02T12:28:34Z;3210;3344
MDEwOlJlcG9zaXRvcnkyMDgxODEyNg==;https://github.com/google/ExoPlayer;ExoPlayer;google/ExoPlayer;20463;1166;544;22;Java;2014-06-13T21:19:18Z;2023-03-03T10:01:45Z;9085;9809
MDEwOlJlcG9zaXRvcnkzMjUzMTQ4MA==;https://github.com/js-cookie/js-cookie;js-cookie;js-cookie/js-cookie;20438;254;71;34;JavaScript;2015-03-19T15:57:47Z;2023-02-27T21:51:49Z;523;524
MDEwOlJlcG9zaXRvcnkxMjQxNzE1MDE=;https://github.com/Meituan-Dianping/mpvue;mpvue;Meituan-Dianping/mpvue;20412;148;64;19;JavaScript;2018-03-07T03:09:25Z;2019-08-05T07:10:07Z;1265;1687
MDEwOlJlcG9zaXRvcnk3NDk2MjUxNQ==;https://github.com/gchq/CyberChef;CyberChef;gchq/CyberChef;20402;589;375;420;JavaScript;2016-11-28T10:34:07Z;2022-12-09T11:40:35Z;507;754
MDEwOlJlcG9zaXRvcnk0NDk5ODA5Mg==;https://github.com/JohnCoates/Aerial;Aerial;JohnCoates/Aerial;20385;261;218;190;Swift;2015-10-26T21:21:31Z;2023-03-03T15:04:53Z;928;987
MDEwOlJlcG9zaXRvcnkyODcyMzY1OQ==;https://github.com/ChristosChristofidis/awesome-deep-learning;awesome-deep-learning;ChristosChristofidis/awesome-deep-learning;20382;207;165;0;;2015-01-02T19:28:35Z;2022-11-14T17:52:31Z;14;18
MDEwOlJlcG9zaXRvcnkxMTAzNjA3;https://github.com/jenkinsci/jenkins;jenkins;jenkinsci/jenkins;20374;7646;5797;242;Java;2010-11-22T21:21:23Z;2023-02-28T13:15:16Z;0;0
MDEwOlJlcG9zaXRvcnkyMDc3Mzc3Mw==;https://github.com/bazelbuild/bazel;bazel;bazelbuild/bazel;20370;6159;422;193;Java;2014-06-12T16:00:38Z;2023-03-03T17:45:14Z;8791;10883
MDEwOlJlcG9zaXRvcnkxMzc1MzYzNg==;https://github.com/jhipster/generator-jhipster;generator-jhipster;jhipster/generator-jhipster;20370;14006;12576;25;TypeScript;2013-10-21T20:07:22Z;2023-03-05T14:20:47Z;6986;7247
MDEwOlJlcG9zaXRvcnk5MDkwMjEzMg==;https://github.com/flameshot-org/flameshot;flameshot;flameshot-org/flameshot;20367;947;785;25;C++;2017-05-10T19:44:51Z;2023-02-15T21:44:58Z;1663;2046
